Notes,County,County Code,Gender,Gender Code,Year,Year Code,Race,Race Code,Deaths,Population,Crude Rate,Age Adjusted Rate,% of Total Deaths
,"Alameda County, CA",6001,Female,F,2006,2006,Asian or Pacific Islander,A-PI,46,204139,22.5,27.7,0
,"Alameda County, CA",6001,Female,F,2006,2006,Black or African American,2054-5,70,112599,62.2,62.1,0
,"Alameda County, CA",6001,Female,F,2006,2006,White,2106-3,330,410372,80.4,66.5,0.001
,"Alameda County, CA",6001,Female,F,2007,2007,Asian or Pacific Islander,A-PI,42,209933,20.0,24.4,0
,"Alameda County, CA",6001,Female,F,2007,2007,Black or African American,2054-5,69,112100,61.6,61.1,0
,"Alameda County, CA",6001,Female,F,2007,2007,White,2106-3,341,410128,83.1,67.1,0.001
,"Alameda County, CA",6001,Female,F,2008,2008,Asian or Pacific Islander,A-PI,69,217317,31.8,38.2,0
,"Alameda County, CA",6001,Female,F,2008,2008,Black or African American,2054-5,88,112156,78.5,76.5,0
,"Alameda County, CA",6001,Female,F,2008,2008,White,2106-3,347,413139,84.0,67.8,0.001
,"Alameda County, CA",6001,Female,F,2009,2009,Asian or Pacific Islander,A-PI,67,223847,29.9,34.8,0
,"Alameda County, CA",6001,Female,F,2009,2009,Black or African American,2054-5,71,113192,62.7,63.1,0
,"Alameda County, CA",6001,Female,F,2009,2009,White,2106-3,292,416165,70.2,56.9,0.001
,"Alameda County, CA",6001,Female,F,2010,2010,Asian or Pacific Islander,A-PI,59,228929,25.8,29.1,0
,"Alameda County, CA",6001,Female,F,2010,2010,Black or African American,2054-5,61,113551,53.7,49.2,0
,"Alameda County, CA",6001,Female,F,2010,2010,White,2106-3,320,416083,76.9,61.8,0.001
,"Alameda County, CA",6001,Female,F,2011,2011,Asian or Pacific Islander,A-PI,55,237030,23.2,24.9,0
,"Alameda County, CA",6001,Female,F,2011,2011,Black or African American,2054-5,61,113353,53.8,54.2,0
,"Alameda County, CA",6001,Female,F,2011,2011,White,2106-3,340,419422,81.1,63.6,0.001
,"Alameda County, CA",6001,Female,F,2012,2012,Asian or Pacific Islander,A-PI,64,244992,26.1,26.4,0
,"Alameda County, CA",6001,Female,F,2012,2012,Black or African American,2054-5,69,113333,60.9,54.8,0
,"Alameda County, CA",6001,Female,F,2012,2012,White,2106-3,310,424057,73.1,57.3,0.001
,"Alameda County, CA",6001,Female,F,2013,2013,Asian or Pacific Islander,A-PI,73,253904,28.8,28.7,0
,"Alameda County, CA",6001,Female,F,2013,2013,Black or African American,2054-5,73,112818,64.7,58.2,0
,"Alameda County, CA",6001,Female,F,2013,2013,White,2106-3,316,428549,73.7,56.9,0.001
,"Alameda County, CA",6001,Female,F,2014,2014,Asian or Pacific Islander,A-PI,80,263505,30.4,29.3,0
,"Alameda County, CA",6001,Female,F,2014,2014,Black or African American,2054-5,76,111813,68.0,59.8,0
,"Alameda County, CA",6001,Female,F,2014,2014,White,2106-3,292,433977,67.3,50.1,0.001
,"Alameda County, CA",6001,Female,F,2015,2015,Asian or Pacific Islander,A-PI,86,272375,31.6,30.6,0
,"Alameda County, CA",6001,Female,F,2015,2015,Black or African American,2054-5,91,111140,81.9,72.0,0
,"Alameda County, CA",6001,Female,F,2015,2015,White,2106-3,339,437178,77.5,57.9,0.001
